 
**************************************************************************************************************
************************************************** PROCESS ***************************************************
************************************** Power Reactor Optimisation Code ***************************************
**************************************************************************************************************
 
Version : 3.1.0
Git Tag : v3.2.1-81-gef0c5066
Git Branch : merge
Date : 13/01/2026 UTC
Time : 10:37
User : jedwal
Computer : fc-deb1-103
Directory : /home/IPP-HGW/jedwal/PROCESS
Input : /home/IPP-HGW/jedwal/PROCESS/stellarator_analysis/design_space_R_B/HTS_high_stress/results/B_5.50/squid.IN.DAT
Run title : squid
Run type : Reactor concept design: Stellarator model, (c) UK Atomic Energy Authority
 
**************************************************************************************************************
 
Equality constraints : 2
Inequality constraints : 12
Total constraints : 14
Iteration variables : 7
Max iterations : 70
Figure of merit : +1  -- minimise major radius          
Convergence parameter : 1e-06
 
**************************************************************************************************************
 
************************************************** Numerics **************************************************
 
PROCESS has performed a VMCON (optimisation) run.
and found a feasible set of parameters.
 
Error flag                                                                (ifail)                                    1 
Number of iteration variables                                             (nvar)                                     7 
Number of constraints (total)                                             (neqns+nineqns)                           14 
Optimisation switch                                                       (ioptimz)                                  1 
Figure of merit switch                                                    (minmax)                                   1 
Objective function name                                                   (objf_name)                     "major radius          " 
Normalised objective function                                             (norm_objf)                     3.94252352083326452e+00 OP 
Square root of the sum of squares of the constraint residuals             (sqsumsq)                       1.44786647423873998e-11 OP 
VMCON convergence parameter                                               (convergence_parameter)         5.84807172354443338e-08 OP 
Number of optimising solver iterations                                    (nviter)                                  38 OP 
 
PROCESS has successfully optimised the optimisation parameters to minimise the objective function: "major radius          "

Certain operating limits have been reached,
 as shown by the following optimisation parameters that are
 at or near to the edge of their prescribed range :

   f_a_tf_turn_cable_copper      = 0.9000000023739113 is at or above its upper bound: 0.9
 
The solution vector is comprised as follows :
 
                                  Final value    Final / initial
--------------------------------  -------------  -----------------
rmajor                            19.7126        0.985631
temp_plasma_electron_vol_avg_kev  5.67264        0.810377
nd_plasma_electrons_vol_avg       2.38665e+20    1.19332
hfact                             1.03762        1.03762
t_tf_superconductor_quench        92.4901        9.24901
f_a_tf_turn_cable_copper          0.9            1.28571
f_nd_alpha_electron               0.0299267      0.299267
 
The following equality constraint residues should be close to zero:
 
                                      Physical constraint        Constraint residue           Normalised residue
--------------------------------  --  -------------------------  ---------------------------  --------------------
Global power balance consistency  =   0.43698809231676167 MW/m3  6.202696978651167e-12 MW/m3  -1.41942e-11
Net electric power lower limit    >=  1000.0 MW                  2.8559270504047163e-09 MW    2.85594e-12
 
The following inequality constraint residues should be greater than or approximately equal to zero:
 
                                       Physical constraint       Constraint residue
---------------------------------  --  ------------------------  --------------------------
Beta upper limit                   <=  0.04                      4.218094623587021e-10
Neutron wall load upper limit      <=  1.5 MW/m2                 0.44241077212439994 MW/m2
Radiation fraction upper limit     <=  0.6636031921475565 MW/m3  -0.10909610017515681 MW/m3
Divertor heat load upper limit     <=  15.858343930364677 MW/m2  -2.4263245697206113 MW/m2
Upper Lim. on Radiation Wall load  <=  1.2 MW/m2                 -0.4196884656334312 MW/m2
toroidalgap > dx_tf_inboard_out_t  >=  1.1220724858343736 m      0.22880850410982545 m
available_space > required_space   >=  2.9663468079616364 m      -0.26820744287188625 m
f_alpha_energy_confinement         >=  4.0                       4.7182617757124895e-09
TF coil conduit stress upper lim   <=  450000000.0 Pa            233167633.7228914 Pa
Dump voltage upper limit           <=  12.0 V                    10.402362501108957 V
J_winding pack/J_protection limit  <=  22956822.28563899 A/m2    -1473764.7915227935 A/m2
Dump time set by VV stress         <=  93000000.0 Pa             -92406932.57956205 Pa
 
******************************************** Final Feasible Point ********************************************
 
 
*************************************** Power Reactor Costs (1990 US$) ***************************************
 
First wall / blanket life (years)                                         (life_blkt)                     1.41832004379723031e+01 
Divertor life (years)                                                     (divlife_cal)                   6.03623274836562729e+00 
Cost of electricity (m$/kWh)                                              (coe)                           1.10388135553292358e+02 
 
Power Generation Costs :
 
 
**************************************** Detailed Costings (1990 US$) ****************************************
 
Acc.22 multiplier for Nth of a kind                                       (fkind)                         1.00000000000000000e+00 
Level of Safety Assurance                                                 (lsa)                                      2 
 
 
************************ Structures and Site Facilities ************************
 
Site improvements, facilities, land (M$)                                  (c211)                          3.26400000000000006e+01 
Reactor building cost (M$)                                                (c212)                          7.63705167239142042e+02 
Turbine building cost (M$)                                                (c213)                          3.19199999999999982e+01 
Reactor maintenance building cost (M$)                                    (c2141)                         5.66956077891332200e+01 
Warm shop cost (M$)                                                       (c2142)                         3.93303331778115961e+01 
Tritium building cost (M$)                                                (c215)                          1.24319999999999986e+01 
Electrical equipment building cost (M$)                                   (c216)                          1.60420314288393691e+01 
Additional buildings cost (M$)                                            (c2171)                         1.51199999999999992e+01 
Control room buildings cost (M$)                                          (c2172)                         1.76400000000000006e+01 
Shop and warehouses cost (M$)                                             (c2173)                         9.65999999999999837e+00 
Cryogenic building cost (M$)                                              (c2174)                         1.00922707254929431e+01 
 
Total account 21 cost (M$)                                                (c21)                           1.00527741036041914e+03 
 
******************************* Reactor Systems ********************************
 
First wall cost (M$)                                                      (c2211)                         1.96997777555296068e+02 
Blanket beryllium cost (M$)                                               (c22121)                        1.54974592623885030e+02 
Blanket breeder material cost (M$)                                        (c22122)                        1.58162477632575900e+02 
Blanket stainless steel cost (M$)                                         (c22123)                        6.08207611665555774e+01 
Blanket vanadium cost (M$)                                                (c22124)                        0.00000000000000000e+00 
Blanket total cost (M$)                                                   (c2212)                         3.73957831423016501e+02 
Bulk shield cost (M$)                                                     (c22131)                        7.89665242627129231e+01 
Penetration shielding cost (M$)                                           (c22132)                        7.89665242627129231e+01 
Total shield cost (M$)                                                    (c2213)                         1.57933048525425846e+02 
